	PLAYER	2009/10
1.	Kobe Bryant	97
2.	LeBron James	96
2.	Dwyane Wade	96
4.	Chris Paul	94
5.	Dwight Howard	89
5.	Kevin Garnett	89
5.	Deron Williams	89
8.	Tim Duncan	88
8.	Carmelo Anthony	88
10.	Brandon Roy	87
10.	Rajon Rondo	87
12.	Devin Harris	86
13.	Chauncey Billups	85
14.	Carlos Boozer	84
14.	Pau Gasol	84
14.	Chris Bosh	84
14.	Al Jefferson	84
14.	Andre Iguodala	84
14.	Paul Pierce	84
14.	Danny Granger	84
14.	Gilbert Arenas	84
14.	Tony Parker	84
23.	Yao Ming	83
23.	Dirk Nowitzki	83
23.	Caron Butler	83
23.	Manu Ginobili	83
23.	Joe Johnson	83
28.	Amare Stoudemire	82
28.	Kevin Durant	82
28.	Baron Davis	82
31.	Shaquille O'Neal	81
31.	Stephen Jackson	81
31.	Vince Carter	81
34.	Metta World Peace	80
34.	Ray Allen	80
34.	Jason Kidd	80
34.	Derrick Rose	80
34.	Steve Nash	80
39.	Emeka Okafor	79
39.	Jameer Nelson	79
41.	David West	78
41.	Rudy Gay	78
41.	Gerald Wallace	78
41.	Jason Terry	78
41.	OJ Mayo	78
41.	Ben Gordon	78
41.	Richard Hamilton	78
41.	Nate Robinson	78
41.	Mike Bibby	78
41.	Andre Miller	78
51.	Brook Lopez	77
51.	Elton Brand	77
51.	David Lee	77
51.	Blake Griffin	77
51.	Josh Smith	77
51.	LaMarcus Aldridge	77
51.	Tayshaun Prince	77
51.	Josh Howard	77
51.	Lamar Odom	77
51.	Kevin Martin	77
51.	Tracy McGrady	77
51.	Russell Westbrook	77
51.	Kirk Hinrich	77
51.	Maurice Williams	77
65.	Hidayet Turkoglu	76
65.	Al Horford	76
65.	Nenê	76
65.	Zach Randolph	76
65.	Richard Jefferson	76
65.	Shawn Marion	76
65.	James Harden	76
65.	Michael Redd	76
65.	Monta Ellis	76
74.	Jermaine O'Neal	75
74.	Jose Calderon	75
74.	Al Harrington	75
74.	Antawn Jamison	75
74.	Corey Maggette	75
74.	Thaddeus Young	75
74.	Rashard Lewis	75
74.	Leandro Barbosa	75
74.	Jamal Crawford	75
74.	Delonte West	75
74.	Rafer Alston	75
85.	Greg Oden	74
85.	Marcus Camby	74
85.	Andrew Bynum	74
85.	Andris Biedrins	74
85.	Paul Millsap	74
85.	Rasheed Wallace	74
85.	Troy Murphy	74
85.	Kenyon Martin	74
85.	Jeff Green	74
85.	Ty Lawson	74
85.	Mario Chalmers	74
85.	Raymond Felton	74
85.	TJ Ford	74
85.	Mike Conley	74
85.	Jonny Flynn	74
100.	Zydrunas Ilgauskas	73
100.	Luis Scola	73
100.	Trevor Ariza	73
100.	Wilson Chandler	73
100.	Luol Deng	73
100.	Larry Hughes	73
100.	Rodney Stuckey	73
107.	Kendrick Perkins	72
107.	Chris Kaman	72
107.	Kevin Love	72
107.	Charlie Villanueva	72
107.	Boris Diaw	72
107.	James Posey	72
107.	Michael Beasley	72
107.	Grant Hill	72
107.	Shane Battier	72
107.	JR Smith	72
107.	Eric Gordon	72
107.	Jason Richardson	72
107.	Steve Blake	72
107.	Chris Duhon	72
121.	Kurt Thomas	71
121.	Andrew Bogut	71
121.	Marc Gasol	71
121.	Mehmet Okur	71
121.	Samuel Dalembert	71
121.	Ben Wallace	71
121.	Luc Mbah a Moute	71
121.	John Salmons	71
121.	Randy Foye	71
121.	Terrence Williams	71
121.	Tyreke Evans	71
121.	Roger Mason	71
121.	Raja Bell	71
121.	Keyon Dooling	71
121.	Aaron Brooks	71
121.	Jarrett Jack	71
137.	Tyson Chandler	70
137.	Udonis Haslem	70
137.	Andres Nocioni	70
137.	Andrei Kirilenko	70
137.	Kelenna Azubuike	70
137.	Ronnie Brewer	70
137.	Derek Fisher	70
137.	DJ Augustin	70
137.	Louis Williams	70
146.	Jason Maxiell	69
146.	Andrea Bargnani	69
146.	Derrick Brown	69
146.	Travis Outlaw	69
146.	Marvin Williams	69
146.	Mike Miller	69
146.	Sasha Vujacic	69
146.	Mickael Pietrus	69
