	PLAYER	2015/16
1.	LeBron James	94
2.	Stephen Curry	93
3.	James Harden	92
3.	Anthony Davis	92
5.	Kevin Durant	91
6.	Chris Paul	90
7.	Russell Westbrook	89
8.	Blake Griffin	88
8.	Carmelo Anthony	88
8.	LaMarcus Aldridge	88
11.	Tim Duncan	87
11.	John Wall	87
11.	Klay Thompson	87
11.	Kawhi Leonard	87
11.	Kyrie Irving	87
11.	Marc Gasol	87
11.	DeMarcus Cousins	87
18.	Dwyane Wade	86
18.	Damian Lillard	86
18.	Paul George	86
18.	Pau Gasol	86
18.	Jimmy Butler	86
23.	Kobe Bryant	85
23.	Dwight Howard	85
23.	Mike Conley	85
26.	Zach Randolph	84
26.	Dirk Nowitzki	84
26.	DeAndre Jordan	84
26.	Chris Bosh	84
30.	Nikola Vucevic	83
30.	Jeff Teague	83
30.	Tony Parker	83
30.	Paul Millsap	83
30.	Kyle Lowry	83
30.	Brook Lopez	83
30.	Al Jefferson	83
30.	Al Horford	83
30.	Gordon Hayward	83
30.	Rudy Gay	83
30.	Andre Drummond	83
30.	DeMar DeRozan	83
42.	Derrick Rose	82
42.	Greg Monroe	82
42.	Draymond Green	82
42.	Derrick Favors	82
42.	Eric Bledsoe	82
47.	Hassan Whiteside	81
47.	Kemba Walker	81
47.	Isaiah Thomas	81
47.	Kevin Love	81
47.	Ty Lawson	81
47.	Brandon Knight	81
47.	Monta Ellis	81
47.	Goran Dragic	81
47.	Giannis Antetokounmpo	81
56.	Louis Williams	80
56.	Andrew Wiggins	80
56.	Victor Oladipo	80
56.	Enes Kanter	80
56.	Brandon Jennings	80
56.	Serge Ibaka	80
56.	Jrue Holiday	80
56.	Tyreke Evans	80
56.	Bradley Beal	80
65.	Kevin Martin	79
65.	JJ Redick	79
65.	Chandler Parsons	79
65.	Joakim Noah	79
65.	Wesley Matthews	79
65.	Kyle Korver	79
65.	Joe Johnson	79
65.	Tobias Harris	79
65.	Rudy Gobert	79
65.	Kenneth Faried	79
65.	Jamal Crawford	79
65.	Darren Collison	79
65.	Tyson Chandler	79
65.	DeMarre Carroll	79
79.	Deron Williams	78
79.	Jonas Valanciunas	78
79.	Karl-Anthony Towns	78
79.	Paul Pierce	78
79.	Markieff Morris	78
79.	Khris Middleton	78
79.	Michael Kidd-Gilchrist	78
79.	Reggie Jackson	78
79.	George Hill	78
79.	Marcin Gortat	78
79.	Eric Gordon	78
79.	Manu Ginobili	78
79.	Luol Deng	78
79.	Tony Allen	78
93.	David West	77
93.	Tristan Thompson	77
93.	Jared Sullinger	77
93.	D'Angelo Russell	77
93.	Ricky Rubio	77
93.	Rajon Rondo	77
93.	Nikola Pekovic	77
93.	Jabari Parker	77
93.	Jahlil Okafor	77
93.	Nerlens Noel	77
93.	Timofey Mozgov	77
93.	Andre Iguodala	77
93.	Roy Hibbert	77
93.	Jeff Green	77
93.	Wilson Chandler	77
93.	Michael Carter-Williams	77
93.	Avery Bradley	77
93.	Andrew Bogut	77
93.	Nicolas Batum	77
93.	Harrison Barnes	77
113.	Chris Kaman	76
113.	Amare Stoudemire	76
113.	Tyler Zeller	76
113.	Maurice Williams	76
113.	Anderson Varejao	76
113.	Rodney Stuckey	76
113.	Tiago Splitter	76
113.	Marreese Speights	76
113.	JR Smith	76
113.	Dennis Schroeder	76
113.	Mason Plumlee	76
113.	Elfrid Payton	76
113.	David Lee	76
113.	Amir Johnson	76
113.	Nenê	76
113.	Danny Green	76
113.	Gerald Green	76
113.	Taj Gibson	76
113.	Kevin Garnett	76
113.	Danilo Gallinari	76
113.	Joel Embiid	76
113.	Ed Davis	76
113.	Jae Crowder	76
113.	Alec Burks	76
113.	Corey Brewer	76
113.	Patrick Beverley	76
113.	Omer Asik	76
113.	Ryan Anderson	76
113.	Steven Adams	76
142.	Josh Smith	75
142.	OJ Mayo	75
142.	Tony Wroten	75
142.	Thaddeus Young	75
142.	Brandan Wright	75
142.	Beno Udrih	75
142.	PJ Tucker	75
142.	Iman Shumpert	75
142.	Luis Scola	75
142.	Shabazz Muhammad	75
142.	Emmanuel Mudiay	75
142.	Donatas Motiejunas	75
142.	JaVale McGee	75
142.	Robin Lopez	75
142.	Jeremy Lin	75
142.	Courtney Lee	75
142.	Terrence Jones	75
142.	James Johnson	75
142.	Solomon Hill	75
142.	Jordan Hill	75
142.	Jared Dudley	75
142.	Jordan Clarkson	75
142.	Aaron Brooks	75
142.	Trevor Ariza	75
142.	Arron Afflalo	75
167.	Andrea Bargnani	74
167.	Carl Landry	74
167.	Cody Zeller	74
167.	Justise Winslow	74
167.	CJ Watson	74
167.	Evan Turner	74
167.	Lance Stephenson	74
167.	Marcus Smart	74
167.	Thabo Sefolosha	74
167.	Julius Randle	74
167.	Kristaps Porzingis	74
167.	Patrick Patterson	74
167.	Kelly Olynyk	74
167.	Jusuf Nurkic	74
167.	Nikola Mirotic	74
167.	Patrick Mills	74
167.	Jodie Meeks	74
167.	Alex Len	74
167.	Cory Joseph	74
