
PLAYER	2018/19
1.	LeBron James	98
2.	Kevin Durant	97
3.	James Harden	96
4.	Stephen Curry	95
5.	Kawhi Leonard	94
5.	Anthony Davis	94
5.	Giannis Antetokounmpo	94
8.	Russell Westbrook	93
8.	Kyrie Irving	93
10.	Karl-Anthony Towns	91
11.	Chris Paul	90
11.	Damian Lillard	90
11.	Joel Embiid	90
11.	DeMarcus Cousins	90
15.	John Wall	89
15.	Klay Thompson	89
15.	Nikola Jokic	89
15.	Paul George	89
15.	DeMar DeRozan	89
15.	Jimmy Butler	89
21.	Kristaps Porzingis	88
21.	Victor Oladipo	88
21.	Gordon Hayward	88
21.	LaMarcus Aldridge	88
25.	Jayson Tatum	87
25.	Ben Simmons	87
25.	Donovan Mitchell	87
25.	CJ McCollum	87
25.	Draymond Green	87
25.	Rudy Gobert	87
25.	Andre Drummond	87
25.	Devin Booker	87
25.	Bradley Beal	87
34.	Kemba Walker	86
34.	Kevin Love	86
34.	DeAndre Jordan	86
34.	Al Horford	86
34.	Blake Griffin	86
39.	Hassan Whiteside	85
39.	Kyle Lowry	85
39.	Jrue Holiday	85
39.	Marc Gasol	85
43.	Khris Middleton	84
43.	Goran Dragic	84
43.	Clint Capela	84
43.	Jaylen Brown	84
43.	Steven Adams	84
48.	D'Angelo Russell	83
48.	Gary Harris	83
48.	Mike Conley	83
51.	Louis Williams	82
51.	Jonas Valanciunas	82
51.	Paul Millsap	82
51.	Lauri Markkanen	82
51.	Brandon Ingram	82
51.	Tobias Harris	82
51.	Aaron Gordon	82
51.	Harrison Barnes	82
59.	Andrew Wiggins	81
59.	Nikola Vucevic	81
59.	Dennis Schroeder	81
59.	Otto Porter	81
59.	Jabari Parker	81
59.	Jamal Murray	81
59.	Dwight Howard	81
59.	Eric Gordon	81
59.	Eric Bledsoe	81
68.	TJ Warren	80
68.	Myles Turner	80
68.	Isaiah Thomas	80
68.	Julius Randle	80
68.	Zach LaVine	80
68.	Kyle Kuzma	80
68.	Tyreke Evans	80
75.	Dwyane Wade	79
75.	Jeff Teague	79
75.	Dario Saric	79
75.	Domantas Sabonis	79
75.	Ricky Rubio	79
75.	Terry Rozier	79
75.	Rajon Rondo	79
75.	JJ Redick	79
75.	Taurean Prince	79
75.	Bobby Portis	79
75.	Jusuf Nurkic	79
75.	Nikola Mirotic	79
75.	Brook Lopez	79
75.	Enes Kanter	79
75.	Reggie Jackson	79
75.	Joe Ingles	79
75.	Serge Ibaka	79
75.	Buddy Hield	79
75.	Pau Gasol	79
75.	Evan Fournier	79
75.	Derrick Favors	79
75.	Luka Doncic	79
75.	Spencer Dinwiddie	79
75.	Robert Covington	79
75.	Darren Collison	79
75.	John Collins	79
75.	Willie Cauley-Stein	79
75.	Malcolm Brogdon	79
75.	Bojan Bogdanovic	79
75.	Will Barton	79
75.	Lonzo Ball	79
75.	Deandre Ayton	79
75.	Carmelo Anthony	79
108.	Thaddeus Young	78
108.	Dennis Smith	78
108.	Marcus Smart	78
108.	Austin Rivers	78
108.	Josh Richardson	78
108.	Zach Randolph	78
108.	Dirk Nowitzki	78
108.	Dejounte Murray	78
108.	Jeremy Lin	78
108.	Jeremy Lamb	78
108.	Jaren Jackson Jr	78
108.	Rondae Hollis-Jefferson	78
108.	Tim Hardaway Jr	78
108.	Rudy Gay	78
108.	De'Aaron Fox	78
108.	Kris Dunn	78
108.	Patrick Beverley	78
108.	Marvin Bagley	78
108.	Trevor Ariza	78
108.	Jarrett Allen	78
108.	Bam Adebayo	78
129.	Cody Zeller	77
129.	Trae Young	77
129.	Delon Wright	77
129.	Fred VanVleet	77
129.	Jonathon Simmons	77
129.	Pascal Siakam	77
129.	Elfrid Payton	77
129.	Kelly Olynyk	77
129.	Nerlens Noel	77
129.	Larry Nance Jr	77
129.	Markieff Morris	77
129.	Marcus Morris	77
129.	JaVale McGee	77
129.	Wesley Matthews	77
129.	Robin Lopez	77
129.	Alex Len	77
