	PLAYER	2016/17
1.	LeBron James	96
2.	Stephen Curry	94
3.	Russell Westbrook	93
3.	Kawhi Leonard	93
3.	Kevin Durant	93
6.	Chris Paul	91
7.	Klay Thompson	90
7.	James Harden	90
7.	Draymond Green	90
7.	Anthony Davis	90
7.	DeMarcus Cousins	90
12.	Damian Lillard	89
12.	Kyrie Irving	89
12.	Paul George	89
15.	John Wall	88
15.	Karl-Anthony Towns	88
15.	Jimmy Butler	88
15.	Carmelo Anthony	88
15.	LaMarcus Aldridge	88
20.	Dwyane Wade	87
20.	Blake Griffin	87
20.	Andre Drummond	87
20.	DeMar DeRozan	87
24.	Lance Stephenson	86
24.	Paul Millsap	86
24.	Kyle Lowry	86
24.	Chris Bosh	86
28.	Hassan Whiteside	85
28.	Kemba Walker	85
28.	Isaiah Thomas	85
28.	DeAndre Jordan	85
28.	Al Horford	85
28.	Marc Gasol	85
28.	Derrick Favors	85
28.	Mike Conley	85
28.	Eric Bledsoe	85
37.	Dirk Nowitzki	84
37.	Dwight Howard	84
37.	Gordon Hayward	84
37.	Pau Gasol	84
41.	CJ McCollum	83
41.	Giannis Antetokounmpo	83
43.	Andrew Wiggins	82
43.	Jonas Valanciunas	82
43.	Kevin Love	82
43.	Reggie Jackson	82
43.	Avery Bradley	82
48.	Tristan Thompson	81
48.	Rajon Rondo	81
48.	Kristaps Porzingis	81
48.	Khris Middleton	81
48.	Brook Lopez	81
48.	Andre Iguodala	81
48.	Rudy Gobert	81
48.	Jae Crowder	81
48.	Steven Adams	81
57.	Nikola Vucevic	80
57.	Derrick Rose	80
57.	Zach Randolph	80
57.	Tony Parker	80
57.	Rodney Hood	80
57.	Rudy Gay	80
57.	Danilo Gallinari	80
57.	Kenneth Faried	80
65.	Thaddeus Young	79
65.	Jeff Teague	79
65.	Ben Simmons	79
65.	D'Angelo Russell	79
65.	Chandler Parsons	79
65.	Victor Oladipo	79
65.	Jahlil Okafor	79
65.	Greg Monroe	79
65.	Michael Kidd-Gilchrist	79
65.	Enes Kanter	79
65.	Nikola Jokic	79
65.	Al Jefferson	79
