	PLAYER	2019/20
1.	Kawhi Leonard	97
1.	LeBron James	97
3.	James Harden	96
3.	Kevin Durant	96
3.	Giannis Antetokounmpo	96
6.	Stephen Curry	95
7.	Anthony Davis	94
8.	Paul George	93
9.	Damian Lillard	92
10.	Kyrie Irving	91
10.	Joel Embiid	91
12.	Russell Westbrook	90
12.	Nikola Jokic	90
14.	Karl-Anthony Towns	89
14.	Klay Thompson	89
16.	Kemba Walker	88
16.	Donovan Mitchell	88
16.	Blake Griffin	88
16.	Rudy Gobert	88
16.	Jimmy Butler	88
21.	Ben Simmons	87
21.	Pascal Siakam	87
21.	D'Angelo Russell	87
21.	Kristaps Porzingis	87
21.	Victor Oladipo	87
21.	CJ McCollum	87
21.	DeMar DeRozan	87
21.	Mike Conley	87
21.	Bradley Beal	87
21.	LaMarcus Aldridge	87
21.	Luka Doncic	87
32.	John Wall	86
32.	Nikola Vucevic	86
32.	Jrue Holiday	86
32.	Draymond Green	86
32.	Andre Drummond	86
32.	DeMarcus Cousins	86
32.	Devin Booker	86
32.	De'Aaron Fox	86
40.	Chris Paul	85
40.	Khris Middleton	85
40.	Kyle Lowry	85
40.	Zach LaVine	85
40.	Al Horford	85
40.	Tobias Harris	85
40.	Clint Capela	85
40.	Eric Bledsoe	85
40.	Trae Young	85
40.	Jayson Tatum	85
50.	Louis Williams	84
50.	Jamal Murray	84
50.	Kyle Kuzma	84
50.	Buddy Hield	84
50.	John Collins	84
55.	Julius Randle	83
55.	Jusuf Nurkic	83
55.	Lauri Markkanen	83
55.	Kevin Love	83
55.	Montrezl Harrell	83
55.	Danilo Gallinari	83
55.	Malcolm Brogdon	83
55.	Bojan Bogdanovic	83
55.	Marvin Bagley	83
64.	Myles Turner	82
64.	Marcus Smart	82
64.	Paul Millsap	82
64.	Jaren Jackson Jr	82
64.	Spencer Dinwiddie	82
64.	Deandre Ayton	82
64.	Steven Adams	82
64.	Marc Gasol	82
72.	Hassan Whiteside	81
72.	Jonas Valanciunas	81
72.	Domantas Sabonis	81
72.	DeAndre Jordan	81
72.	Brandon Ingram	81
72.	Aaron Gordon	81
72.	Rudy Gay	81
72.	Zion Williamson	81
72.	Serge Ibaka	81
81.	TJ Warren	80
81.	Josh Richardson	80
81.	JJ Redick	80
81.	Otto Porter	80
81.	Enes Kanter	80
81.	Reggie Jackson	80
81.	Gordon Hayward	80
81.	Derrick Favors	80
81.	Robert Covington	80
81.	Derrick Rose	80
91.	Thaddeus Young	79
91.	Andrew Wiggins	79
91.	Fred VanVleet	79
91.	PJ Tucker	79
91.	Tristan Thompson	79
91.	Terrence Ross	79
91.	Mitchell Robinson	79
91.	JaVale McGee	79
91.	Brook Lopez	79
91.	Jeremy Lamb	79
91.	Joe Ingles	79
91.	Gary Harris	79
91.	Shai Gilgeous-Alexander	79
91.	Goran Dragic	79
91.	Willie Cauley-Stein	79
91.	Jaylen Brown	79
91.	Patrick Beverley	79
91.	Harrison Barnes	79
91.	Lonzo Ball	79
91.	Jarrett Allen	79
91.	Bam Adebayo	79
91.	Ja Morant	79
113.	Justise Winslow	78
113.	Derrick White	78
113.	Jeff Teague	78
