
PLAYER	2017/18
1.	LeBron James	97
2.	Kevin Durant	96
3.	Kawhi Leonard	95
3.	James Harden	95
5.	Russell Westbrook	94
5.	Anthony Davis	94
5.	Stephen Curry	94
8.	DeMarcus Cousins	92
9.	Chris Paul	91
9.	Paul George	91
9.	Giannis Antetokounmpo	91
12.	John Wall	90
12.	Karl-Anthony Towns	90
12.	Klay Thompson	90
12.	Kyrie Irving	90
12.	Jimmy Butler	90
17.	Isaiah Thomas	89
17.	Damian Lillard	89
17.	Marc Gasol	89
17.	DeMar DeRozan	89
21.	Nikola Jokic	88
21.	Gordon Hayward	88
21.	Draymond Green	88
21.	Rudy Gobert	88
25.	Hassan Whiteside	87
25.	Paul Millsap	87
25.	Kyle Lowry	87
25.	Kevin Love	87
25.	DeAndre Jordan	87
25.	Blake Griffin	87
25.	Mike Conley	87
25.	Bradley Beal	87
33.	Andrew Wiggins	86
33.	Kemba Walker	86
33.	Kristaps Porzingis	86
33.	CJ McCollum	86
33.	Joel Embiid	86
38.	Andre Drummond	85
38.	Goran Dragic	85
38.	Devin Booker	85
38.	LaMarcus Aldridge	85
42.	Myles Turner	84
42.	Brook Lopez	84
42.	Eric Bledsoe	84
42.	Carmelo Anthony	84
46.	Al Horford	83
46.	Avery Bradley	83
48.	Dwyane Wade	82
48.	George Hill	82
48.	Steven Adams	82
51.	Louis Williams	81
51.	Jonas Valanciunas	81
51.	Jabari Parker	81
51.	Khris Middleton	81
51.	Dwight Howard	81
51.	Gary Harris	81
51.	Rudy Gay	81
51.	Pau Gasol	81
51.	Danilo Gallinari	81
51.	Harrison Barnes	81
61.	Dion Waiters	80
61.	Nikola Vucevic	80
61.	D'Angelo Russell	80
61.	Austin Rivers	80
61.	Zach Randolph	80
61.	Otto Porter	80
61.	Dirk Nowitzki	80
61.	Greg Monroe	80
61.	Zach LaVine	80
61.	Enes Kanter	80
61.	Serge Ibaka	80
61.	Jrue Holiday	80
61.	Tim Hardaway Jr	80
61.	Eric Gordon	80
61.	Markelle Fultz	80
61.	Jae Crowder	80
61.	Lonzo Ball	80
78.	Jeff Teague	79
78.	Marcus Smart	79
78.	Ben Simmons	79
78.	Dennis Schroeder	79
78.	Ricky Rubio	79
78.	JJ Redick	79
78.	Victor Oladipo	79
78.	Jusuf Nurkic	79
78.	James Johnson	79
78.	Andre Iguodala	79
78.	Clint Capela	79
78.	Kentavious Caldwell-Pope	79
78.	Patrick Beverley	79
78.	Nicolas Batum	79
92.	TJ Warren	78
92.	Tristan Thompson	78
92.	Dario Saric	78
92.	Derrick Rose	78
92.	Julius Randle	78
92.	Nerlens Noel	78
92.	Markieff Morris	78
